team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
GAK;"AsianApple20""!";47;16;34.04;11744;249.87;27;0.57;23;0.49;43;0.91;77;1.64;369;7.85;131;2.79;40;0.85;35.06;298.93;38.08;80153;1705.38;49016;1042.89;31137;662.49;544;11.57;2701;57.47;18604;395.83;10570;224.89;8034;170.94;115;2.45;698;14.85;3466.14;73.75;911.38;19.39;11921;253.64;5324;113.28;917;19.51;1411.76;23231980;494297.44;9656.72;205.46;6622.34;140.9;1258.4;26.77;11298.61;240.4;5782.44;123.03;456.39;9.71;414.58;8.82;0.16;2656;56.51;5242.1;111.53;5840.6;124.27;5215.71;110.97;12321.73;262.16;11487.84;244.42;6049.6;128.71;8625.23;183.52;5309.82;112.97;3602.34;76.65;2949.28;2908.98;2991.28;3475.68;31;0.66;35;0.74
Brictone & ilygio & Swej.;Brictone;40;22;55.00;14288;357.2;41;1.02;24;0.6;49;1.23;103;2.58;287;7.18;89;2.22;23;0.57;39.81;374.34;49.04;89169;2229.23;56545;1413.62;32624;815.6;707;17.67;2884;72.1;19902;497.55;11259;281.48;8643;216.07;137;3.42;766;19.15;1264.24;31.61;1328.29;33.21;12091;302.27;13297;332.42;1976;49.4;1509.46;20338914;508472.84;6796.93;169.92;6011.35;150.28;1527.34;38.18;9276.68;231.92;4545.52;113.64;513.35;12.83;339.08;8.48;0.11;2967;74.18;4057.3;101.43;5049.4;126.24;4237.12;105.93;10098.5;252.46;9376.55;234.41;4959.07;123.98;6950.25;173.76;4500.26;112.51;2885.09;72.13;2866.24;2786.2;2952.08;3518.39;23;0.57;23;0.57
THE AKATSUKI;Chyaboi;59;35;59.32;23502;398.34;57;0.97;35;0.59;69;1.17;182;3.08;385;6.53;124;2.1;47;0.8;31.32;431.33;48.98;146314;2479.9;112043;1899.03;34271;580.86;1338;22.68;2937;49.78;35546;602.47;24915;422.29;10631;180.19;284;4.81;910;15.42;3002.09;50.88;2524.04;42.78;20015;339.24;16594;281.25;1619;27.44;1524.03;29891944;506643.12;9732.02;164.95;7929.07;134.39;3198.96;54.22;11969.84;202.88;7863.82;133.29;1026.38;17.4;394.95;6.69;0.1;3893;65.98;7059.9;119.66;6794.5;115.16;5754.62;97.54;15105.45;256.02;13304.69;225.5;7555.27;128.06;9933.93;168.37;6455.41;109.41;4470.79;75.78;2697.53;2501.46;2906.05;3519.4;56;0.95;61;1.03
[LPH];Cryo;23;7;30.43;2551;110.91;1;0.04;6;0.26;15;0.65;9;0.39;210;9.13;57;2.48;13;0.57;11.11;286.17;56.3;42694;1856.26;32153;1397.96;10541;458.3;398;17.3;922;40.09;3644;158.43;1762;76.61;1882;81.83;22;0.96;159;6.91;854.83;37.17;1597.59;69.46;5317;231.17;7804;339.3;454;19.74;1414.44;11696626;508548.97;4633.64;201.46;3357.61;145.98;745.53;32.41;5634.55;244.98;3012.11;130.96;90.1;3.92;224.14;9.75;0.2;1108;48.17;4405.3;191.53;2049.6;89.11;1965.53;85.46;6771.22;294.4;7119.77;309.56;1617.02;70.31;5766.77;250.73;2113.45;91.89;856.5;37.24;3989.74;4173.83;3837.75;4086.77;21;0.91;19;0.83
[LPH];Cryofire;16;7;43.75;1939;121.19;2;0.12;6;0.38;10;0.62;6;0.38;127;7.94;49;3.06;21;1.31;33.33;263.16;56.63;27432;1714.5;20697;1293.56;6735;420.94;258;16.12;597;37.31;1955;122.19;870;54.38;1085;67.81;12;0.75;88;5.5;647.69;40.48;1102.77;68.92;1802;112.62;5365;335.31;338;21.12;1405.13;8051859;503241.19;3376.36;211.02;2378.69;148.67;389.17;24.32;3855.57;240.97;2168.38;135.52;120.26;7.52;166.24;10.39;0.22;773;48.31;3195.7;199.73;1327.3;82.96;1282.36;80.15;4861.89;303.87;5060.26;316.27;1083.94;67.75;4090.16;255.64;1518.19;94.89;535.83;33.49;3957.62;4217.17;3739.51;4087.11;7;0.44;7;0.44
THE AKATSUKI;DG.fazechun;59;35;59.32;15957;270.46;32;0.54;29;0.49;67;1.14;111;1.88;385;6.53;124;2.1;46;0.78;28.83;337.2;50.46;113767;1928.25;78957;1338.25;34810;590;923;15.64;3041;51.54;16540;280.34;8461;143.41;8079;136.93;99;1.68;692;11.73;1958.75;33.2;1933.33;32.77;6159;104.39;14044;238.03;1499;25.41;1358.58;26740824;453234.31;12248.44;207.6;7264.81;123.13;1388.66;23.54;13131.26;222.56;7003.44;118.7;767.29;13;589.24;9.99;0.18;3308;56.07;8697.7;147.42;5756;97.56;5222.7;88.52;15679.19;265.75;14356.93;243.34;6544.91;110.93;10927.9;185.22;6415.86;108.74;3558.17;60.31;3175.45;3161.45;3192.04;3579.47;13;0.22;51;0.86
VT Stormzy & Neosunlight & DazedRex69;DazedRex69;42;17;40.48;9409;224.02;12;0.29;14;0.33;52;1.24;50;1.19;353;8.4;106;2.52;40;0.95;24;257.2;50.79;71400;1700;44003;1047.69;27397;652.31;572;13.62;2380;56.67;11933;284.12;6448;153.52;5485;130.6;88;2.1;479;11.4;1314.36;31.29;1657.32;39.46;8126;193.48;13369;318.31;2394;57;1374.87;21079380;501890;9419.13;224.27;5780.43;137.63;984.9;23.45;11243.68;267.71;4664.68;111.06;276.16;6.58;525.77;12.52;0.13;4082;97.19;6617.2;157.55;4389.4;104.51;3644.37;86.77;12540.14;298.57;11611.53;276.47;4572.74;108.87;8721.38;207.65;5108.65;121.63;2354.41;56.06;3038.2;3099.27;2970.25;3576.88;23;0.55;27;0.64
Shaunch & Renshiro K & Dies;Dies;47;21;44.68;16900;359.57;44;0.94;27;0.57;59;1.26;106;2.26;371;7.89;128;2.72;36;0.77;41.51;263.48;56.81;84169;1790.83;55118;1172.72;29051;618.11;750;15.96;2602;55.36;18398;391.45;9777;208.02;8621;183.43;134;2.85;778;16.55;774.41;16.48;3025.09;64.36;3056;65.02;20900;444.68;3723;79.21;1408.65;23558504;501244.78;10095.18;214.79;6626.94;141;1247.25;26.54;10950.06;232.98;6404.19;136.26;615.07;13.09;269.38;5.73;0.14;2007;42.7;5511.5;117.27;6371.6;135.57;5305.15;112.88;12664.13;269.45;12038.68;256.14;5930.66;126.18;9084.51;193.29;5449.92;115.96;3434.94;73.08;3212.02;3146.83;3263.04;3844.29;54;1.15;32;0.68
DFR;DreamZ.;49;26;53.06;16047;327.49;31;0.63;30;0.61;51;1.04;138;2.82;302;6.16;110;2.24;36;0.73;22.46;418.94;47.93;121310;2475.71;91506;1867.47;29804;608.24;1079;22.02;2516;51.35;20757;423.61;13399;273.45;7358;150.16;155;3.16;643;13.12;2819.96;57.55;1683.47;34.36;15778;322;13841;282.47;1521;31.04;1549.04;25501096;520430.53;7654.17;156.21;7391.1;150.84;2459.58;50.2;10143.16;207;6598.19;134.66;763.46;15.58;269.15;5.49;0.13;2042;41.67;6081.2;124.11;5156.6;105.24;4507.02;91.98;12997.77;265.26;11614.39;237.03;5890.39;120.21;8734.36;178.25;5347.4;109.13;3423.07;69.86;3105.9;3075.16;3127.68;3901.59;34;0.69;22;0.45
GAPPLEBEES;Fernado;56;35;62.50;21271;379.84;46;0.82;34;0.61;77;1.38;171;3.05;338;6.04;100;1.79;36;0.64;26.9;367.33;48.48;116639;2082.84;75049;1340.16;41590;742.68;888;15.86;3611;64.48;29800;532.14;17310;309.11;12490;223.04;218;3.89;1052;18.79;2307.6;41.21;1529.71;27.32;12139;216.77;11833;211.3;3424;61.14;1523.88;28170726;503048.69;9227.88;164.78;7702.43;137.54;2642.48;47.19;11559.57;206.42;7114;127.04;899.25;16.06;459.23;8.2;0.1;4602;82.18;6277.5;112.1;6517.7;116.39;5165.45;92.24;14407.34;257.27;12069.85;215.53;7502.93;133.98;8685.2;155.09;6488.62;115.87;4399.01;78.55;2879.25;2791.82;2965.78;3612.71;59;1.05;47;0.84
