team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
[RAP];2Cans;48;25;52.08;15888;331;29;0.6;22;0.46;77;1.6;109;2.27;429;8.94;127;2.65;33;0.69;26.61;384.45;51.76;112328;2340.17;86743;1807.15;25585;533.02;1047;21.81;2207;45.98;17110;356.46;9875;205.73;7235;150.73;127;2.65;635;13.23;2181.35;45.44;1910.34;39.8;12833;267.35;18175;378.65;2859;59.56;1549.71;25163072;524230.66;7554.59;157.39;7228.44;150.59;2544.88;53.02;9921.79;206.7;6646.08;138.46;760.07;15.83;320.49;6.68;0.1;3116;64.92;5964.8;124.27;5097.9;106.21;4667.84;97.25;12660.07;263.75;11746.81;244.73;5581.04;116.27;9064.78;188.85;4966.69;103.47;3296.44;68.68;3013.12;2914.17;3088.41;3790.68;41;0.85;49;1.02
[MEAT];ARBY_.;38;12;31.58;10705;281.71;24;0.63;17;0.45;34;0.89;103;2.71;282;7.42;115;3.03;37;0.97;23.3;405.11;48.31;90547;2382.82;59238;1558.89;31309;823.92;723;19.03;2821;74.24;22386;589.11;12690;333.95;9696;255.16;149;3.92;874;23;1646.4;43.33;626.86;16.5;8076;212.53;12752;335.58;2327;61.24;1530.83;19237156;506240.94;5852.9;154.02;6161.29;162.14;1393.96;36.68;8103.75;213.26;4707.37;123.88;597.14;15.71;385.66;10.15;0.14;2803;73.76;4170.2;109.74;4597;120.97;4166.15;109.64;9242.04;243.21;8275.92;217.79;5132.32;135.06;6036.93;158.87;4278.43;112.59;3092.86;81.39;2898.37;2823.62;2965.21;3730.86;29;0.76;40;1.05
LARBYS;Akami;45;23;51.11;16536;367.47;39;0.87;16;0.36;70;1.56;107;2.38;374;8.31;105;2.33;28;0.62;36.45;445.27;50.77;117296;2606.58;81969;1821.53;35327;785.04;955;21.22;2967;65.93;23970;532.67;14979;332.87;8991;199.8;175;3.89;771;17.13;2016.34;44.81;1630.82;36.24;15482;344.04;14016;311.47;2515;55.89;1563.12;23783422;528520.5;7119.6;158.21;5988.68;133.08;3010.38;66.9;8932.01;198.49;6522.48;144.94;664.16;14.76;345.19;7.67;0.11;3281;72.91;5403.7;120.08;5172.6;114.95;4252.04;94.49;11866.65;263.7;10898.5;242.19;5220.06;116;8373.83;186.09;4655.54;103.46;3089.3;68.65;2836.64;2743.42;2928.87;3468.16;40;0.89;44;0.98
BUNZ;Argon;43;26;60.47;15545;361.51;42;0.98;29;0.67;38;0.88;141;3.28;301;7;92;2.14;23;0.53;29.79;476.52;51.65;123941;2882.35;93401;2172.12;30540;710.23;1187;27.6;2722;63.3;27246;633.63;17392;404.47;9854;229.16;213;4.95;884;20.56;1878.17;43.68;1754.83;40.81;18604;432.65;24831;577.47;4037;93.88;1714.41;25014744;581738.25;5036.83;117.14;7003.21;162.87;3502.17;81.45;8061.5;187.48;6681.35;155.38;799.34;18.59;346.94;8.07;0.08;4139;96.26;4217.4;98.08;6006.3;139.68;5118.58;119.04;10423.62;242.41;9506.09;221.07;6036.14;140.38;6974.93;162.21;4769.26;110.91;3798;88.33;3097.41;2878.98;3325.04;3968.32;76;1.77;31;0.72
[TLB];BeeHolder;46;20;43.48;11210;243.7;19;0.41;21;0.46;52;1.13;75;1.63;429;9.33;131;2.85;35;0.76;25.33;352.2;49.73;103401;2247.85;76184;1656.17;27217;591.67;876;19.04;2408;52.35;15544;337.91;8707;189.28;6837;148.63;103;2.24;601;13.07;2295.84;49.91;2512.63;54.62;7073;153.76;12471;271.11;1720;37.39;1461.24;23531368;511551.47;8812.81;191.58;6781.07;147.41;1641.89;35.69;9778.59;212.58;6885.02;149.67;572.23;12.44;530.03;11.52;0.1;5349;116.28;5940.6;129.14;5549.4;120.64;4793.03;104.2;12442.83;270.5;11927.22;259.29;5308.64;115.41;9171.53;199.38;5155.99;112.09;2908.32;63.22;3316.3;3373.5;3268.35;3648.01;44;0.96;23;0.5
RenshiroKamazaki & DayStarr_ & pk11;DayStarr_;40;15;37.50;8522;213.05;10;0.25;18;0.45;38;0.95;53;1.33;335;8.38;112;2.8;44;1.1;18.87;298.95;41.32;70204;1755.1;43074;1076.85;27130;678.25;500;12.5;2316;57.9;9989;249.73;3794;94.85;6195;154.88;43;1.08;546;13.65;2170.47;54.26;1164.7;29.12;6519;162.98;6815;170.38;547;13.68;1442.59;19934648;498366.19;7638;190.95;5909.77;147.74;1195.88;29.9;9739.36;243.48;4699.25;117.48;305.01;7.63;225.32;5.63;0.14;1604;40.1;5632.3;140.81;4023.9;100.6;3468.8;86.72;11274.77;281.87;10477.74;261.94;4265.87;106.65;8196.96;204.92;4204.15;105.1;2342.41;58.56;2963.09;3026.41;2899.05;3458.04;19;0.47;33;0.82
POGO STICKS;Dies;31;10;32.26;8689;280.29;13;0.42;11;0.35;42;1.35;57;1.84;240;7.74;61;1.97;14;0.45;22.81;300.57;57.1;56050;1808.06;36642;1182;19408;626.06;517;16.68;1781;57.45;10835;349.52;5323;171.71;5512;177.81;74;2.39;521;16.81;416.69;13.44;1707.74;55.09;3195;103.06;16012;516.52;2327;75.06;1434.5;14600957;470998.62;5550.35;179.04;4215.29;135.98;915.33;29.53;6422.05;207.16;3879.89;125.16;379.02;12.23;155.43;5.01;0.12;1273;41.06;3301.2;106.49;3602.7;116.22;3016.59;97.31;7664.33;247.24;7139.02;230.29;3541.93;114.26;5401.46;174.24;3316.46;106.98;1962.95;63.32;3226.81;3199.64;3254.36;3680.25;53;1.71;23;0.74
DIXON YAMADA;ElatedThug;45;25;55.56;8060;179.11;17;0.38;17;0.38;31;0.69;70;1.56;317;7.04;84;1.87;31;0.69;24.29;321.03;47.05;86063;1912.51;48779;1083.98;37284;828.53;576;12.8;3270;72.67;18021;400.47;8846;196.58;9175;203.89;105;2.33;813;18.07;1634.52;36.32;763.61;16.97;4707;104.6;8828;196.18;1632;36.27;1361.7;20586384;457475.19;9134.63;202.99;5770.51;128.23;1097.23;24.38;10037.09;223.05;5661.54;125.81;303.78;6.75;390.92;8.69;0.09;4380;97.33;5292;117.6;4578.3;101.74;4014.96;89.22;11987.43;266.39;10590.51;235.34;5411.91;120.26;7751.25;172.25;5305.21;117.89;2945.94;65.47;3179.91;3290.58;3066.36;3686.22;20;0.44;44;0.98
NADOSBIKINGCREW;Fernado;46;29;63.04;15647;340.15;30;0.65;25;0.54;54;1.17;142;3.09;295;6.41;87;1.89;29;0.63;21.13;379.13;47.87;103328;2246.26;68228;1483.22;35100;763.04;817;17.76;3060;66.52;25697;558.63;14382;312.65;11315;245.98;168;3.65;969;21.07;2050.24;44.57;1498.95;32.59;14670;318.91;13667;297.11;2551;55.46;1546.03;24622872;535279.81;7636.44;166.01;6635.01;144.24;2609.13;56.72;9763.96;212.26;6327.86;137.56;788.76;17.15;326.75;7.1;0.1;3143;68.33;5042.1;109.61;5819.4;126.51;4700.01;102.17;12180.52;264.79;10414.79;226.41;6465.64;140.56;7318.89;159.11;5780.49;125.66;3781.13;82.2;2972.13;2886.99;3071.09;3850.42;63;1.37;45;0.98
LARBYS;Front Flip Freddy;52;24;46.15;14750;283.65;17;0.33;21;0.4;90;1.73;93;1.79;456;8.77;142;2.73;56;1.08;18.28;299.15;58.69;97851;1881.75;62924;1210.08;34927;671.67;779;14.98;3131;60.21;14787;284.37;7435;142.98;7352;141.38;94;1.81;648;12.46;1103.22;21.22;3020.23;58.08;7747;148.98;16075;309.13;2120;40.77;1357.83;23809398;457873.03;10668.34;205.16;6648.9;127.86;1392.35;26.78;12112.53;232.93;5847.14;112.44;749.94;14.42;362.42;6.97;0.1;3708;71.31;8023.7;154.3;4649.1;89.41;4075.32;78.37;14634.25;281.43;13642.76;262.36;5066.88;97.44;10483.53;201.61;5653.5;108.72;2572.61;49.47;3046.75;3035.3;3047.64;3451.21;27;0.52;63;1.21
POGO STICKS;GANGSTER.GOOSE;35;11;31.43;6550;187.14;7;0.2;9;0.26;36;1.03;43;1.23;284;8.11;78;2.23;24;0.69;16.28;265.78;52.11;53432;1526.63;32187;919.63;21245;607;383;10.94;1831;52.31;8726;249.31;3171;90.6;5555;158.71;42;1.2;485;13.86;774.98;22.14;1381.49;39.47;4632;132.34;6491;185.46;1103;31.51;1380.18;15880413;453726.09;6871.65;196.33;4341.85;124.05;913.68;26.11;7885.28;225.29;3920.59;112.02;321.33;9.18;301.83;8.62;0.14;2113;60.37;4572.8;130.65;3859.9;110.28;3144.99;89.86;8982.14;256.63;8333.83;238.11;3793.34;108.38;6322.59;180.65;3684.73;105.28;2119.82;60.57;3012.91;3014.9;3007.14;3496.84;11;0.31;30;0.86
[LAB];G_Llama;47;17;36.17;10517;223.77;25;0.53;20;0.43;31;0.66;86;1.83;436;9.28;130;2.77;37;0.79;29.07;348.57;46.9;100383;2135.81;67754;1441.57;32629;694.23;813;17.3;2844;60.51;19975;425;9747;207.38;10228;217.62;116;2.47;900;19.15;2207.09;46.96;1483.8;31.57;15334;326.26;14002;297.91;1992;42.38;1525.08;25324908;538827.81;8280.98;176.19;7228.76;153.8;2143.11;45.6;11466.92;243.98;5803.62;123.48;382.22;8.13;273.35;5.82;0.14;1898;40.38;4642.4;98.77;6672.6;141.97;6326.57;134.61;11326.21;240.98;11030.63;234.69;6622.16;140.9;8052.12;171.32;5709.3;121.47;3891.38;82.8;2743.75;2658.15;2822.89;3314.12;30;0.64;57;1.21
[LAB];GreenSleeves;47;17;36.17;22937;488.02;49;1.04;20;0.43;102;2.17;152;3.23;436;9.28;130;2.77;46;0.98;32.24;402.9;49.56;118709;2525.72;78536;1670.98;40173;854.74;965;20.53;3515;74.79;27281;580.45;15377;327.17;11904;253.28;183;3.89;1025;21.81;2224.58;47.33;1031.96;21.96;10893;231.77;12605;268.19;1517;32.28;1527.92;25412960;540701.25;8166.39;173.75;6921.15;147.26;2602.58;55.37;9680.38;205.97;7264.7;154.57;745.02;15.85;388.47;8.27;0.08;4945;105.21;6582.7;140.06;5295.6;112.67;4627.7;98.46;13062.36;277.92;11735.87;249.7;5954.24;126.69;9040.52;192.35;5182.38;110.26;3467.27;73.77;2589.06;2470.52;2705.82;3365.49;49;1.04;50;1.06
DIXON YAMADA;Keks;45;25;55.56;10894;242.09;19;0.42;22;0.49;38;0.84;80;1.78;317;7.04;84;1.87;30;0.67;23.75;352.28;49.96;96918;2153.73;69196;1537.69;27722;616.04;824;18.31;2425;53.89;20939;465.31;13724;304.98;7215;160.33;163;3.62;628;13.96;2107.06;46.82;2825.4;62.79;10697;237.71;13775;306.11;2659;59.09;1471.81;22337990;496399.78;7924.3;176.1;6515.87;144.8;1609.28;35.76;10080.91;224.02;5341.37;118.7;627.11;13.94;403.04;8.96;0.1;4120;91.56;5258.5;116.86;5344.9;118.78;4256.58;94.59;11792.84;262.06;11004.77;244.55;5044.61;112.1;8102.64;180.06;5093.73;113.19;2853;63.4;3374.03;3376;3371.14;3841.51;44;0.98;29;0.64
NADOSBIKINGCREW;King;46;29;63.04;14229;309.33;35;0.76;18;0.39;43;0.93;112;2.43;295;6.41;87;1.89;24;0.52;31.25;406.72;53.82;115475;2510.33;85351;1855.46;30124;654.87;1083;23.54;2688;58.43;20029;435.41;12912;280.7;7117;154.72;161;3.5;631;13.72;1924.07;41.83;3136.33;68.18;17646;383.61;23915;519.89;3382;73.52;1577.46;25249060;548892.62;7187.46;156.25;7152.11;155.48;2581.09;56.11;10031.74;218.08;6006.94;130.59;882;19.17;343.48;7.47;0.14;2373;51.59;6639.7;144.34;4837;105.15;4202.89;91.37;12717.83;276.47;11451.53;248.95;5469.18;118.9;8573.06;186.37;5169.71;112.39;3177.88;69.08;3216.65;3150.82;3294.9;3909.18;46;1;32;0.7
LEN0 & TopHatBear_ & Nostalgia;LEN0;41;29;70.73;19237;469.2;53;1.29;29;0.71;72;1.76;157;3.83;276;6.73;76;1.85;31;0.76;33.76;374.41;52.41;90831;2215.39;61641;1503.44;29190;711.95;740;18.05;2612;63.71;21384;521.56;12817;312.61;8567;208.95;156;3.8;760;18.54;1283.91;31.31;1214.88;29.63;11223;273.73;13014;317.41;2966;72.34;1489.44;20742680;505919.03;7489.17;182.66;5553.94;135.46;1851.51;45.16;8867.97;216.29;5300.5;129.28;726.09;17.71;426.5;10.4;0.1;4376;106.73;4937.2;120.42;4588;111.9;3636.52;88.7;11258.11;274.59;9454.99;230.61;5439.65;132.67;7062.49;172.26;4515.68;110.14;3316.42;80.89;2777.07;2689.3;2866.73;3516.77;34;0.83;38;0.93
[PRES];LeagueSon;47;27;57.45;16638;354;45;0.96;33;0.7;58;1.23;129;2.74;347;7.38;92;1.96;34;0.72;34.88;309.39;50.71;91571;1948.32;58352;1241.53;33219;706.79;716;15.23;2931;62.36;21636;460.34;11841;251.94;9795;208.4;145;3.09;850;18.09;1277.19;27.17;1988.42;42.31;4427;94.19;14292;304.09;2904;61.79;1439.47;23409238;498068.91;9118.07;194;6939.88;147.66;1205.94;25.66;9888.61;210.4;6687.25;142.28;688.02;14.64;519.75;11.06;0.12;4498;95.7;5220;111.06;5911;125.77;5183.35;110.28;12080.56;257.03;11073.16;235.6;6190.68;131.72;8057.2;171.43;5654.74;120.31;3551.93;75.57;2959.48;2870.58;3050.61;3583.64;38;0.81;48;1.02
[MEAT];LukeThighWalkr4;39;12;30.77;9184;235.49;20;0.51;15;0.38;27;0.69;69;1.77;293;7.51;124;3.18;36;0.92;28.99;354.36;49.47;82769;2122.28;63199;1620.49;19570;501.79;760;19.49;1648;42.26;16118;413.28;9756;250.15;6362;163.13;118;3.03;524;13.44;1779.21;45.62;1788.43;45.86;10718;274.82;12667;324.79;2018;51.74;1493.63;19575060;501924.62;6590.29;168.98;6016.41;154.27;1393.06;35.72;8630.46;221.29;4678.66;119.97;690.67;17.71;257.63;6.61;0.16;1652;42.36;4753.7;121.89;4817.3;123.52;4565.64;117.07;9434.09;241.9;8779.33;225.11;5220.45;133.86;6507.34;166.85;4358.47;111.76;3133.95;80.36;3287.58;3247.32;3312.83;3860.24;30;0.77;32;0.82
DIXON YAMADA;Mini;45;25;55.56;26891;597.58;70;1.56;17;0.38;106;2.36;187;4.16;317;7.04;84;1.87;23;0.51;37.43;455.49;53.06;122060;2712.44;91517;2033.71;30543;678.73;1166;25.91;2732;60.71;24516;544.8;15523;344.96;8993;199.84;192;4.27;791;17.58;1373.42;30.52;1681.37;37.36;19049;423.31;20916;464.8;3052;67.82;1605.35;24377252;541716.69;6522.81;144.95;6389.98;142;3154;70.09;8695.64;193.24;6277.08;139.49;1094.05;24.31;297.27;6.61;0.12;2482;55.16;5025.6;111.68;5422.2;120.49;3542.81;78.73;12523.95;278.31;10579.39;235.1;5487.43;121.94;8036.54;178.59;4807.05;106.82;3223.25;71.63;2741.58;2450.8;3023.28;3742.12;61;1.36;23;0.51
LEN0 & TopHatBear_ & Nostalgia;Nostalgia;41;29;70.73;16994;414.49;43;1.05;34;0.83;48;1.17;138;3.37;276;6.73;76;1.85;23;0.56;31.16;423.66;50.6;102539;2500.95;76635;1869.15;25904;631.8;910;22.2;2223;54.22;24408;595.32;15350;374.39;9058;220.93;176;4.29;758;18.49;1782.73;43.48;2788.94;68.02;11558;281.9;13050;318.29;1887;46.02;1480.09;20721252;505396.38;7569.27;184.62;5304.18;129.37;2047.32;49.93;8098.89;197.53;6052.92;147.63;768.92;18.75;332.75;8.12;0.16;2092;51.02;4064.3;99.13;5323.7;129.85;4187.23;102.13;10733.53;261.79;9121.37;222.47;5799.43;141.45;6738.38;164.35;4530.78;110.51;3651.64;89.06;2572.02;2431.97;2725.9;3475.05;29;0.71;30;0.73
BUNZ;Pops;43;26;60.47;16224;377.3;41;0.95;23;0.53;54;1.26;124;2.88;301;7;92;2.14;33;0.77;33.06;386.48;53.29;101383;2357.74;68901;1602.35;32482;755.4;836;19.44;2923;67.98;21240;493.95;12562;292.14;8678;201.81;153;3.56;778;18.09;1465.42;34.08;1739.22;40.45;13562;315.4;12284;285.67;2140;49.77;1564.72;22844036;531256.62;6867.47;159.71;6109.41;142.08;2577.15;59.93;8802.09;204.7;6010.14;139.77;741.85;17.25;456.33;10.61;0.11;4186;97.35;5494.6;127.78;4474;104.05;3985.25;92.68;11568.77;269.04;10397.62;241.81;5156.41;119.92;7900.21;183.73;4622.91;107.51;3030.92;70.49;3057.48;3014.98;3087.44;3879.92;41;0.95;33;0.77
[MEAT];Ral Days;39;12;30.77;16256;416.82;33;0.85;22;0.56;59;1.51;116;2.97;293;7.51;124;3.18;51;1.31;28.45;427.62;51.5;98088;2515.08;70719;1813.31;27369;701.77;844;21.64;2428;62.26;21338;547.13;13075;335.26;8263;211.87;157;4.03;733;18.79;1351.74;34.66;1037.82;26.61;14022;359.54;13040;334.36;2408;61.74;1595.03;20935748;536814.06;5812.87;149.05;5606.49;143.76;2587.96;66.36;7859.9;201.54;5390.82;138.23;756.53;19.4;228.88;5.87;0.09;2503;64.18;4743;121.62;4070.2;104.36;3641.44;93.37;10365.84;265.79;8985.41;230.4;5021.9;128.77;6777.51;173.78;4223.89;108.3;3005.88;77.07;2748.27;2610.64;2871.61;3712.5;43;1.1;31;0.79
RenshiroKamazaki & DayStarr_ & pk11;RenshiroKamazaki;40;15;37.50;9859;246.48;20;0.5;16;0.4;41;1.02;54;1.35;335;8.38;112;2.8;29;0.73;37.04;332.24;49.01;84394;2109.85;58894;1472.35;25500;637.5;710;17.75;2278;56.95;16637;415.92;9556;238.9;7081;177.02;114;2.85;624;15.6;1580.12;39.5;1445.05;36.13;12516;312.9;12314;307.85;1814;45.35;1489.55;20595588;514889.69;6716.38;167.91;6708.41;167.71;1314.82;32.87;9904.25;247.61;4489.95;112.25;345.48;8.64;303.72;7.59;0.15;2088;52.2;4910.5;122.76;4846.8;121.17;4124.08;103.1;10615.55;265.39;10145.91;253.65;4593.68;114.84;7646.3;191.16;4507.88;112.7;2585.44;64.64;3186.23;3108.86;3262.07;3577.8;19;0.47;37;0.93
POGO STICKS;Terminator;35;11;31.43;15363;438.94;28;0.8;8;0.23;77;2.2;117;3.34;284;8.11;78;2.23;40;1.14;23.93;379.09;53.19;77310;2208.86;53896;1539.89;23414;668.97;696;19.89;2109;60.26;15370;439.14;8950;255.71;6420;183.43;110;3.14;581;16.6;898.13;25.66;1604.19;45.83;8647;247.06;16018;457.66;2147;61.34;1533.46;17657180;504490.84;5522.66;157.79;5013.48;143.24;1587.14;45.35;6767.93;193.37;4662.12;133.2;693.33;19.81;275.46;7.87;0.09;3016;86.17;4072.1;116.35;4279.7;122.28;2993.85;85.54;9129.48;260.84;8264.76;236.14;3858.52;110.24;6215.24;177.58;3755.49;107.3;2152.58;61.5;2631.59;2393.35;2820.57;3535.16;31;0.89;32;0.91
