team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
AFTERMATH;0riginalgamer;21;6;28.57;8304;395.43;17;0.81;10;0.48;31;1.48;64;3.05;167;7.95;50;2.38;16;0.76;26.56;405.78;53.38;51487;2451.76;35255;1678.81;16232;772.95;435;20.71;1451;69.1;13695;652.14;8580;408.57;5115;243.57;100;4.76;439;20.9;790.14;37.63;723.96;34.47;6432;306.29;8473;403.48;1349;64.24;1524.08;10850139;516673.28;3482.12;165.82;2874.5;136.88;1197.35;57.02;4098.57;195.17;3043.84;144.94;411.51;19.6;153.07;7.29;0.09;1653;78.71;2389.3;113.78;2488.1;118.48;2141.47;101.97;5412.47;257.74;4887.04;232.72;2666.92;127;3622.42;172.5;2325.89;110.76;1605.69;76.46;2887.23;2678.9;3096.63;3855.11;17;0.81;22;1.05
SHREK TV;2 Cans;51;24;47.06;19347;379.35;51;1;34;0.67;77;1.51;137;2.69;369;7.24;115;2.25;39;0.76;37.23;390.74;52.12;119134;2335.96;91217;1788.57;27917;547.39;1119;21.94;2440;47.84;19079;374.1;11852;232.39;7227;141.71;148;2.9;622;12.2;1774.39;34.79;2101.22;41.2;15504;304;21125;414.22;3048;59.76;1543.16;26428196;518199.91;8155.42;159.91;7762.49;152.21;2332.61;45.74;11065.57;216.97;6570.95;128.84;614.02;12.04;369.73;7.25;0.11;3389;66.45;6073.3;119.08;5724.7;112.25;4632.15;90.83;13618.45;267.03;12387.47;242.89;5863.07;114.96;9454.09;185.37;5440.44;106.68;3356.04;65.8;3202.1;3113.64;3294.19;3955.14;60;1.18;38;0.75
BZ;Blue Zenith;5;3;60.00;1929;385.8;4;0.8;4;0.8;8;1.6;11;2.2;39;7.8;10;2;4;0.8;36.36;388.05;52.15;12069;2413.8;9458;1891.6;2611;522.2;114;22.8;215;43;1827;365.4;1220;244;607;121.4;13;2.6;46;9.2;238.8;47.76;433.12;86.62;1255;251;2032;406.4;90;18;1466.4;2690588;538117.62;1000.93;200.19;735.93;147.19;204.02;40.8;1134.96;226.99;722.12;144.42;83.81;16.76;46.45;9.29;0.17;270;54;475.9;95.18;759.1;151.82;607.44;121.49;1333.44;266.69;1229.97;245.99;710.91;142.18;857.43;171.49;664.65;132.93;418.8;83.76;2711.11;2527.7;2899.86;3799.94;5;1;6;1.2
BLUE ZENITH;CTRL+ALT+HELI;3;0;0.00;768;256;2;0.67;0;0;1;0.33;6;2;20;6.67;12;4;4;1.33;33.33;488.69;52.68;8165;2721.67;6666;2222;1499;499.67;81;27;126;42;1837;612.33;1392;464;445;148.33;16;5.33;38;12.67;136.65;45.55;205.93;68.64;1562;520.67;1476;492;214;71.33;1523.21;1483271;494423.66;477.41;159.14;393.52;131.17;165.9;55.3;557.16;185.72;431.56;143.85;48.12;16.04;20.45;6.82;0.13;157;52.33;280.8;93.6;396.5;132.17;352.25;117.42;684.59;228.2;703.12;234.37;333.72;111.24;536.13;178.71;293.51;97.84;207.19;69.06;2752.99;2615.99;2881.95;3796.9;3;1;3;1
AFTERMATH;Chyaboi;19;4;21.05;6732;354.32;14;0.74;7;0.37;21;1.11;65;3.42;159;8.37;63;3.32;29;1.53;21.54;463.55;49.4;53015;2790.26;40227;2117.21;12788;673.05;479;25.21;1073;56.47;11196;589.26;7354;387.05;3842;202.21;90;4.74;321;16.89;988.32;52.02;840.29;44.23;9157;481.95;7498;394.63;1508;79.37;1540.52;10274927;540785.62;3251.17;171.11;2628.44;138.34;1216.8;64.04;3965.54;208.71;2782.88;146.47;347.99;18.32;128.67;6.77;0.11;1219;64.16;2279.9;119.99;2217.9;116.73;1908.98;100.47;5187.42;273.02;4679.7;246.3;2416.72;127.2;3585.08;188.69;2082.09;109.58;1429.24;75.22;2752.84;2564.16;2933.42;3799.36;18;0.95;15;0.79
VALHALLA;CommanderBoy;5;3;60.00;2121;424.2;6;1.2;0;0;9;1.8;12;2.4;37;7.4;9;1.8;5;1;50;359.53;45.25;10328;2065.6;6842;1368.4;3486;697.2;81;16.2;309;61.8;2690;538;1861;372.2;829;165.8;22;4.4;75;15;244.42;48.88;183.16;36.63;1360;272;1311;262.2;363;72.6;1530.66;2490247;498049.41;760.25;152.05;707.81;141.56;253.97;50.79;988.6;197.72;661.56;132.31;71.89;14.38;30.84;6.17;0.11;290;58;602.8;120.56;520.2;104.04;432.75;86.55;1289.29;257.86;1179.49;235.9;542.55;108.51;909.75;181.95;467.26;93.45;345.03;69.01;2976.84;2960.12;3000.39;3828.84;4;0.8;6;1.2
AMERICAN MUSCLE;Dies;29;9;31.03;9092;313.52;21;0.72;14;0.48;35;1.21;58;2;225;7.76;93;3.21;30;1.03;36.21;265.86;56.15;49018;1690.28;31393;1082.52;17625;607.76;425;14.66;1590;54.83;10260;353.79;4844;167.03;5416;186.76;70;2.41;479;16.52;382.83;13.2;1815.6;62.61;1538;53.03;11783;406.31;2365;81.55;1412.12;13857093;477830.78;5853.74;201.85;3892.71;134.23;767.35;26.46;6380.41;220.01;3802.75;131.13;330.55;11.4;200.04;6.9;0.14;1430;49.31;3410.7;117.61;3808.9;131.34;3061.3;105.56;7452.44;256.98;7057.72;243.37;3456.01;119.17;5259.92;181.38;3306.46;114.02;1947.36;67.15;3217.85;3165.68;3275.13;3707.65;12;0.41;25;0.86
VALHALLA;Fernado;52;27;51.92;22617;434.94;59;1.13;28;0.54;68;1.31;178;3.42;334;6.42;112;2.15;38;0.73;33.15;371.86;50.03;113612;2184.85;75013;1442.56;38599;742.29;907;17.44;3409;65.56;24477;470.71;13174;253.35;11303;217.37;164;3.15;988;19;1845.89;35.5;1628.6;31.32;10922;210.04;15140;291.15;2772;53.31;1552.62;27401446;526950.88;8393.89;161.42;7614.63;146.44;2759.32;53.06;11018.51;211.89;6817.41;131.1;931.91;17.92;390.48;7.51;0.11;3690;70.96;5964.4;114.7;5963.2;114.68;4768.68;91.71;13999.19;269.22;12129.82;233.27;6638.01;127.65;8791.39;169.07;6135.74;117.99;3840.73;73.86;2844.11;2747.48;2943.32;3856.83;50;0.96;47;0.9
OWEN WILSONS;GabeFRFX;59;27;45.76;13609;230.66;22;0.37;28;0.47;53;0.9;95;1.61;396;6.71;132;2.24;39;0.66;23.16;335.6;52.15;118954;2016.17;78276;1326.71;40678;689.46;945;16.02;3608;61.15;19204;325.49;9959;168.8;9245;156.69;127;2.15;832;14.1;2357.86;39.96;2744.01;46.51;12109;205.24;16918;286.75;2894;49.05;1426.45;29534204;500579.72;11622.68;196.99;8624.61;146.18;1687.37;28.6;14488.08;245.56;7038.48;119.3;408.08;6.92;841.19;14.26;0.09;8884;150.58;8497.1;144.02;6048.6;102.52;4635.82;78.57;17298.84;293.2;15341.31;260.02;6593.32;111.75;11670.08;197.8;6750.66;114.42;3513.92;59.56;2985.63;3055.54;2924.45;3441.17;43;0.73;44;0.75
AFTERMATH;Glacidus;40;10;25.00;14898;372.45;31;0.77;17;0.43;66;1.65;123;3.08;326;8.15;113;2.83;39;0.98;25.2;343.06;49.5;83324;2083.1;58843;1471.07;24481;612.03;702;17.55;2127;53.17;18461;461.52;10976;274.4;7485;187.12;129;3.22;655;16.38;1453.52;36.34;1057.99;26.45;7099;177.48;10259;256.48;1748;43.7;1460.5;20184196;504604.91;7306.39;182.66;5887.31;147.18;1482.93;37.07;8055.36;201.38;5953;148.82;668.28;16.71;249.08;6.23;0.08;3120;78;4154.2;103.86;4990.3;124.76;4441.53;111.04;10235.13;255.88;9099.47;227.49;5577.19;139.43;6662.16;166.55;4744.35;118.61;3270.16;81.75;2798.77;2693.13;2906.95;3754.9;13;0.32;29;0.73
