replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;demos inflicted;demos taken
2e17aaad-8f0a-4567-9382-3c1f1763c1e5;86909_Game1.replay;Mannfield (Night);2025-10-01 18:20:06;win;DOGE;THE GOONIES;mech_anderdingus;23;Octane;474;2;0;2;2;10;3;1;100;360;56.85;2508;2023;485;26;45;448;366;82;5;7;42.66;53.82;200;522;135;1645;577696;154.82;40.65;147.7;38.78;78.3;20.56;199.68;52.43;163.89;43.04;17.25;4.53;5.32;0.12;43;136.4;35.25;134.7;34.81;104.56;27.46;276.26;72.54;104.56;27.46;270.78;71.11;110.01;28.89;200.49;52.65;115.74;30.39;64.6;16.96;3650;3729;3644;3999;1;2
2e17aaad-8f0a-4567-9382-3c1f1763c1e5;86909_Game1.replay;Mannfield (Night);2025-10-01 18:20:06;win;DOGE;THE GOONIES;hot;4284;Fennec;573;1;0;3;4;10;3;0;25;370;43.97;2572;1997;575;22;53;357;194;163;2;14;64.64;64.97;254;229;10;1490;527067;186.01;48.47;145.58;37.93;52.21;13.6;207.28;54.01;155.01;40.39;21.51;5.6;6.96;0.1;68;117.8;30.44;114.5;29.59;80.95;21.09;302.85;78.91;80.95;21.09;263.62;68.69;120.18;31.31;200.68;52.29;122.49;31.92;60.63;15.8;2705;2565;2752;3740;2;1
2e17aaad-8f0a-4567-9382-3c1f1763c1e5;86909_Game1.replay;Mannfield (Night);2025-10-01 18:20:06;win;DOGE;THE GOONIES;GoW_Caaloz;23;Octane;364;1;1;1;2;10;3;2;50;226;49.1;1575;870;705;11;61;321;161;160;2;14;26.29;59.38;134;239;40;1402;495676;224.92;58.59;137.58;35.84;21.38;5.57;289.02;75.29;94.5;24.62;0.35;0.09;7.86;0.18;43;113.5;29.33;109.8;28.37;96.28;25.08;287.59;74.92;96.28;25.08;260.62;67.89;123.25;32.11;208.52;54.32;100.29;26.13;75.06;19.55;2956;2866;3068;3465;1;1
2e17aaad-8f0a-4567-9382-3c1f1763c1e5;86909_Game1.replay;Mannfield (Night);2025-10-01 18:20:06;loss;THE GOONIES;DOGE;Gilan;4284;Fennec;206;0;1;0;4;8;4;3;0;341;54.35;2299;1750;549;21;48;225;138;87;2;8;34.61;62.83;274;365;69;1563;551603;180.09;46.93;149.93;39.07;53.71;14;230.53;60.08;146.43;38.16;6.77;1.76;4.66;0.08;60;132.1;34.13;109.8;28.37;89.91;23.43;293.82;76.57;89.91;23.43;278.87;72.67;104.87;27.33;205.65;53.59;119.62;31.17;58.47;15.24;3013;3033;2997;3750;0;1
2e17aaad-8f0a-4567-9382-3c1f1763c1e5;86909_Game1.replay;Mannfield (Night);2025-10-01 18:20:06;loss;THE GOONIES;DOGE;Argon;23;Octane;338;1;1;0;2;8;4;0;50;468;47.85;3066;2196;870;28;78;439;179;260;2;22;52.65;39.24;332;523;20;1763;628265;111.28;28.77;190.09;49.14;85.43;22.09;196.5;50.8;176.95;45.75;13.35;3.45;7.61;0.08;95;105.1;27.16;146.4;37.83;119.95;31.01;266.84;68.99;119.95;31.01;253.24;65.47;133.56;34.53;186.43;48.2;128.19;33.14;72.18;18.66;3430;2947;3949;3914;4;0
2e17aaad-8f0a-4567-9382-3c1f1763c1e5;86909_Game1.replay;Mannfield (Night);2025-10-01 18:20:06;loss;THE GOONIES;DOGE;Toucan;23;Octane;511;2;1;1;4;8;4;1;50;358;50.27;2269;1622;647;22;59;277;100;177;1;15;35.67;44.16;169;453;0;1543;535099;172.69;45.73;151.5;40.12;53.4;14.14;224.89;59.56;132.83;35.18;19.86;5.26;6.68;0.1;64;128.8;33.28;105.7;27.31;100.57;26.64;277.01;73.36;100.57;26.64;260.18;68.91;117.4;31.09;213.04;56.42;88.42;23.42;76.12;20.16;3264;3300;3204;3911;0;3
d2dcf352-9c2c-4bd0-b69e-4fdbcc4a4a3e;91480_Game1.replay;Forbidden Temple (Day);2025-10-01 18:23:56;win;THE GOONIES;;LukeThighWalkr4;4284;Fennec;513;3;0;0;4;7;3;2;75;336;51.43;2225;1710;515;20;45;325;184;141;2;12;36.61;58.09;407;226;18;1519;528813;183.77;48.09;162.81;42.6;35.59;9.31;239.64;62.71;120.41;31.51;22.11;5.79;6.98;0.13;54;113.6;29.66;138.6;36.19;100.42;26.28;281.75;73.72;100.42;26.28;240.75;63;141.41;37;163.38;42.75;138.78;36.31;80;20.93;3113;2935;3404;3749;3;0
d2dcf352-9c2c-4bd0-b69e-4fdbcc4a4a3e;91480_Game1.replay;Forbidden Temple (Day);2025-10-01 18:23:56;win;THE GOONIES;;OnlyClankers;4284;Fennec;487;3;0;1;3;7;3;0;100;333;65.93;2244;1680;564;23;59;521;318;203;6;20;8.58;91.8;160;635;282;1526;527247;170.12;44.76;176.38;46.41;33.55;8.83;236.47;62.22;131.01;34.47;12.56;3.3;3.91;0.09;42;137.6;35.93;110.5;28.85;90.96;23.93;289.09;76.07;90.96;23.93;232.66;61.22;147.39;38.78;172.08;45.28;118.52;31.19;89.44;23.53;3262;3328;3154;3722;5;0
d2dcf352-9c2c-4bd0-b69e-4fdbcc4a4a3e;91480_Game1.replay;Forbidden Temple (Day);2025-10-01 18:23:56;win;THE GOONIES;;vpr.vnm;23;Octane;454;0;2;3;3;7;3;1;0;416;54.22;2687;2095;592;25;46;417;280;137;4;12;42.46;46.53;203;431;126;1503;515748;184.94;48.43;158.71;41.56;38.19;10;231.15;60.54;134.72;35.28;15.96;4.18;6.28;0.13;49;96.5;25.2;98.2;25.64;76.3;19.98;305.53;80.02;76.3;19.98;240.63;63.02;141.21;36.98;169.12;44.29;126.48;33.12;86.24;22.59;2835;2589;3265;3512;1;0
d2dcf352-9c2c-4bd0-b69e-4fdbcc4a4a3e;91480_Game1.replay;Forbidden Temple (Day);2025-10-01 18:23:56;loss;THE GOONIES;;1pxx;4284;Fennec;685;3;0;2;7;10;6;5;42.86;433;44.28;2495;1599;896;19;83;524;295;229;3;20;25.85;19.54;182;318;14;1569;512284;168.35;46.42;132.54;36.55;61.74;17.03;167.5;46.19;187.08;51.59;8.06;2.22;9.32;0.11;82;179.8;46.95;180.1;47.02;85.68;23.63;276.95;76.37;85.68;23.63;267.95;73.89;94.68;26.11;210.27;57.98;92.31;25.45;60.06;16.56;2203;2006;2311;3212;0;7
