replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;demos inflicted;demos taken
315ac330-9691-4cd9-b590-042b8304fa3b;65191_Game4.replay;AquaDome (Salty Shallows);2024-04-16 03:09:20;loss;[MEAT];LARBYS;ARBY_.;4284;Fennec;72;0;0;0;1;14;4;1;0;393;48.2;2126;1228;898;15;75;300;98;202;1;18;46.69;13.7;120;207;7;1513;482689;145.97;43.27;162.14;48.06;29.24;8.67;203.72;60.39;122.96;36.45;10.67;3.16;11.44;0.14;79;121.1;35.31;106.4;31.02;126.99;37.64;210.36;62.36;126.99;37.64;241.79;71.67;95.56;28.33;177.89;52.73;106.58;31.59;52.88;15.68;3161;3351;3043;3739;2;2
315ac330-9691-4cd9-b590-042b8304fa3b;65191_Game4.replay;AquaDome (Salty Shallows);2024-04-16 03:09:20;loss;[MEAT];LARBYS;LukeThighWalkr4;23;Octane;273;0;0;2;1;14;4;2;0;389;44.74;2151;1523;628;17;47;444;287;157;3;13;66.07;22.48;314;138;12;1574;509482;141.57;41.24;162.84;47.44;38.86;11.32;212.2;61.82;120.22;35.02;10.86;3.16;7.64;0.16;49;119;34.69;119.7;34.9;112.53;32.78;230.74;67.22;112.53;32.78;231.13;67.33;112.13;32.67;169.39;49.35;108.59;31.63;65.29;19.02;3250;3053;3425;3918;1;0
315ac330-9691-4cd9-b590-042b8304fa3b;65191_Game4.replay;AquaDome (Salty Shallows);2024-04-16 03:09:20;loss;[MEAT];LARBYS;Ral Days;4284;Fennec;346;0;0;3;1;14;4;1;0;433;48.55;2324;1841;483;21;42;220;100;120;1;10;55.63;18.56;315;252;0;1596;516720;144.16;41.99;134.28;39.11;64.86;18.89;184.67;53.79;141;41.07;17.63;5.14;5.27;0.08;68;97.5;28.43;107.7;31.4;115.5;33.64;227.8;66.36;115.5;33.64;233.06;67.89;110.25;32.11;162.27;47.27;119.78;34.89;61.25;17.84;2595;2067;2831;3616;1;0
315ac330-9691-4cd9-b590-042b8304fa3b;65191_Game4.replay;AquaDome (Salty Shallows);2024-04-16 03:09:20;win;LARBYS;[MEAT];Front Flip Freddy;4284;Fennec;232;0;1;1;2;3;0;0;0;297;62.19;1890;1044;846;13;64;393;166;227;2;21;29.41;45.63;100;292;51;1441;459345;173.81;51.52;126.03;37.36;37.53;11.12;238.44;70.68;96.13;28.49;2.79;0.83;8.35;0.08;99;131.5;38.34;106;30.9;64.28;19.05;273.09;80.95;64.28;19.05;196.08;58.12;141.29;41.88;152.29;45.14;116.44;34.52;68.63;20.34;3497;3842;2878;4012;1;2
315ac330-9691-4cd9-b590-042b8304fa3b;65191_Game4.replay;AquaDome (Salty Shallows);2024-04-16 03:09:20;win;LARBYS;[MEAT];Akami;4284;Fennec;274;1;0;0;5;3;0;0;20;446;48.63;2579;1241;1338;14;60;522;354;168;4;14;50.44;39.44;285;176;45;1581;512965;147.26;42.88;134.41;39.14;61.75;17.98;192.11;55.94;145.03;42.23;6.27;1.83;8.74;0.11;80;112.2;32.71;118.8;34.64;80.17;23.34;263.25;76.66;80.17;23.34;222.78;64.87;120.63;35.13;162.03;47.18;104.24;30.35;77.15;22.47;2888;2748;3026;3730;0;0
315ac330-9691-4cd9-b590-042b8304fa3b;65191_Game4.replay;AquaDome (Salty Shallows);2024-04-16 03:09:20;win;LARBYS;[MEAT];TiPSY0;4284;Fennec;725;3;1;1;7;3;0;0;42.86;432;57.57;2289;1268;1021;16;50;505;344;161;5;17;17.65;29.2;337;366;181;1524;483898;149.8;44.41;143.56;42.56;43.93;13.02;198.6;58.88;108.17;32.07;30.52;9.05;6.11;0.11;58;94.2;27.46;110.9;32.33;62.43;18.51;274.86;81.49;62.43;18.51;198.35;58.81;138.94;41.19;144.21;42.76;105.89;31.39;87.19;25.85;2675;2381;3067;3725;1;2
79faa8e5-e141-4692-88de-a9d4fe14117a;65191_Game3.replay;AquaDome (Salty Shallows);2024-04-16 03:17:19;loss;[MEAT];LARBYS;ARBY_.;4284;Fennec;210;1;0;0;4;5;3;1;25;435;55.52;2481;1821;660;21;62;527;300;227;3;21;50.87;19.28;241;299;8;1530;497617;152.36;43.75;168.78;48.46;27.13;7.79;226.91;65.15;114.65;32.92;6.72;1.93;14.24;0.17;85;102.9;29.15;109.1;30.91;96.04;27.58;252.24;72.42;96.04;27.58;179.43;51.52;168.84;48.48;116.92;33.57;141.66;40.68;89.69;25.75;3067;3072;3052;3805;2;1
79faa8e5-e141-4692-88de-a9d4fe14117a;65191_Game3.replay;AquaDome (Salty Shallows);2024-04-16 03:17:19;loss;[MEAT];LARBYS;Ral Days;4284;Fennec;226;0;0;0;2;5;3;2;0;443;53.64;2513;1821;692;22;64;884;613;271;7;24;39.85;26.71;489;394;86;1697;562112;117.65;33.27;165.39;46.77;70.61;19.97;182.59;51.63;150.37;42.52;20.69;5.85;5.59;0.09;64;113.2;32.07;112.1;31.76;94.92;26.84;258.74;73.16;94.92;26.84;186.84;52.83;166.81;47.17;140.62;39.76;100.39;28.39;112.64;31.85;2685;2561;2841;3892;0;0
79faa8e5-e141-4692-88de-a9d4fe14117a;65191_Game3.replay;AquaDome (Salty Shallows);2024-04-16 03:17:19;loss;[MEAT];LARBYS;LukeThighWalkr4;23;Octane;204;1;0;0;1;5;3;0;100;399;45.35;2395;1919;476;22;42;493;270;223;3;19;50.75;52.58;304;292;29;1538;501458;154.47;44.16;161.28;46.11;34.04;9.73;213.51;61.04;114.15;32.63;22.14;6.33;5.37;0.14;39;130;36.83;120.7;34.19;103.33;29.54;246.46;70.46;103.33;29.54;201.03;57.47;148.76;42.53;151.06;43.19;99.4;28.42;99.33;28.4;3563;3477;3669;4053;2;1
79faa8e5-e141-4692-88de-a9d4fe14117a;65191_Game3.replay;AquaDome (Salty Shallows);2024-04-16 03:17:19;win;LARBYS;[MEAT];Akami;4284;Fennec;526;2;1;1;3;7;2;1;66.67;446;42.39;2448;1822;626;21;41;617;575;42;6;4;67.36;25.67;292;222;24;1510;488597;161.94;46.88;123.63;35.79;59.88;17.33;169.2;48.98;152.86;44.25;23.4;6.77;7.63;0.11;69;120.6;34.16;104.7;29.66;95.39;27.61;250.07;72.39;95.39;27.61;254.6;73.7;90.86;26.3;206.56;59.79;83.33;24.12;55.57;16.09;2658;2529;2760;3516;0;2
