replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;demos inflicted;demos taken
24a371c8-59fd-47b3-bced-4a27d09ef418;61941_Game1.replay;Mannfield (Night);2024-07-23 02:24:07;win;CANCUN;[T5];GreenSleeves;23;Octane;817;3;1;3;5;4;0;0;60;475;50.85;2866;2122;744;26;65;689;507;182;6;16;42.31;28.08;252;316;92;1612;521686;135.34;39.14;145.53;42.09;64.89;18.77;183.19;52.98;149;43.09;13.57;3.92;8.22;0.08;100;106.3;30.2;126.5;35.94;63.3;18.31;282.46;81.69;63.3;18.31;216.32;62.56;129.44;37.44;158.54;45.85;115.71;33.47;71.51;20.68;2550;2571;2528;3673;1;2
24a371c8-59fd-47b3-bced-4a27d09ef418;61941_Game1.replay;Mannfield (Night);2024-07-23 02:24:07;win;CANCUN;[T5];Sales;23;Octane;420;2;2;0;5;4;0;0;40;373;45.85;2146;1539;607;18;53;336;143;193;2;17;45.88;29.37;298;278;64;1431;467737;179.69;51.5;127.16;36.45;42.03;12.05;208.64;59.8;131.39;37.66;8.84;2.53;9.27;0.14;68;107.2;30.45;96.8;27.5;67.96;19.48;280.91;80.52;67.96;19.48;216.93;62.18;131.94;37.82;174.44;50;95.84;27.47;78.59;22.53;2963;3122;2772;3487;2;1
24a371c8-59fd-47b3-bced-4a27d09ef418;61941_Game1.replay;Mannfield (Night);2024-07-23 02:24:07;win;CANCUN;[T5];King Rocco;4770;Dominus;174;0;1;0;2;4;0;0;0;202;53.55;1320;825;495;10;44;237;177;60;2;5;9.68;59.09;180;196;22;1382;440092;197.45;57.97;116.06;34.07;27.1;7.96;224.27;65.84;113.9;33.44;2.44;0.72;5.74;0.11;53;139.7;39.69;107.6;30.57;84.03;24.67;256.57;75.33;84.03;24.67;248.66;73.01;91.94;26.99;181.63;53.33;107.78;31.64;51.19;15.03;3744;3989;3467;3741;0;3
24a371c8-59fd-47b3-bced-4a27d09ef418;61941_Game1.replay;Mannfield (Night);2024-07-23 02:24:07;loss;[T5];CANCUN;ElatedThug;4284;Fennec;114;0;0;1;2;12;5;1;0;310;43.57;1761;881;880;10;78;427;194;233;2;20;39.36;19.8;118;132;10;1407;463180;190.36;54.11;139.44;39.64;21.98;6.25;229.55;65.25;113.66;32.31;8.58;2.44;6.28;0.08;75;93.9;26.68;93.9;26.68;111.24;31.62;240.55;68.38;111.24;31.62;242.56;68.95;109.23;31.05;171.63;48.79;126.45;35.95;53.7;15.27;3061;2929;3170;3535;2;0
24a371c8-59fd-47b3-bced-4a27d09ef418;61941_Game1.replay;Mannfield (Night);2024-07-23 02:24:07;loss;[T5];CANCUN;LeagueSon;4284;Fennec;236;0;0;2;1;12;5;2;0;379;60.81;2447;1881;566;26;51;343;146;197;2;15;15.27;59.86;163;737;69;1485;480409;162.85;46.7;160.85;46.12;25.04;7.18;190.23;54.55;138.71;39.77;19.8;5.68;8.38;0.11;75;101.8;28.92;111.5;31.68;109.77;31.48;238.98;68.52;109.77;31.48;237.63;68.14;111.12;31.86;180.04;51.63;104.66;30.01;64.04;18.36;2880;2739;3011;3558;3;1
24a371c8-59fd-47b3-bced-4a27d09ef418;61941_Game1.replay;Mannfield (Night);2024-07-23 02:24:07;loss;[T5];CANCUN;Fernado;23;Octane;321;0;0;2;1;12;5;2;0;406;55.58;2347;1587;760;18;60;332;218;114;3;10;33.97;28.29;347;242;89;1614;524174;140.62;40.48;145.68;41.94;61.08;17.58;208.01;59.88;129.64;37.32;9.73;2.8;6.95;0.09;81;140.9;40.03;126.9;36.05;116.79;33.62;230.59;66.38;116.79;33.62;248.1;71.42;99.28;28.58;181.5;52.25;104.58;30.11;61.29;17.64;3110;3133;3084;3872;1;2
8f10ecf5-7280-4109-adc4-646017d8ca20;61941_Game2.replay;Mannfield (Night);2024-07-23 02:30:35;loss;CANCUN;[T5];Sales;23;Octane;368;1;0;1;4;8;3;2;25;389;50.39;2230;1692;538;21;49;814;585;229;7;21;35.6;41.69;368;413;115;1435;474816;189.89;54.17;112.81;32.18;47.87;13.65;200.91;57.31;129.63;36.98;20.03;5.71;7.92;0.13;60;106.4;30.31;121.4;34.59;80.8;23.05;269.77;76.95;80.8;23.05;193.3;55.14;157.27;44.86;132.57;37.82;119.17;33.99;98.83;28.19;2756;2604;2985;3612;1;0
8f10ecf5-7280-4109-adc4-646017d8ca20;61941_Game2.replay;Mannfield (Night);2024-07-23 02:30:35;loss;CANCUN;[T5];GreenSleeves;23;Octane;490;0;1;4;2;8;3;1;0;407;51.16;2315;1532;783;20;71;861;621;240;7;21;41.28;12.39;230;212;71;1565;509558;153.61;44.59;131.9;38.29;59.01;17.13;197.2;57.24;129.44;37.57;17.88;5.19;9.99;0.09;109;108.9;31.03;96.1;27.38;94.07;27.3;250.45;72.7;94.07;27.3;202.72;58.84;141.8;41.16;155.61;45.17;93.34;27.09;95.57;27.74;2524;2507;2589;3556;0;2
8f10ecf5-7280-4109-adc4-646017d8ca20;61941_Game2.replay;Mannfield (Night);2024-07-23 02:30:35;loss;CANCUN;[T5];King Rocco;4770;Dominus;76;0;0;0;1;8;3;0;0;292;55.31;1754;1204;550;16;47;402;235;167;3;14;18.26;44.68;144;405;67;1451;476857;173.27;49.85;145.59;41.89;28.69;8.25;224.45;64.58;107.84;31.03;15.26;4.39;4.74;0.1;46;127.4;36.3;116.8;33.28;111.28;32.02;236.26;67.98;111.28;32.02;212.99;61.28;134.56;38.72;151.96;43.72;111.69;32.14;83.9;24.14;3218;3417;3019;3662;0;1
8f10ecf5-7280-4109-adc4-646017d8ca20;61941_Game2.replay;Mannfield (Night);2024-07-23 02:30:35;win;[T5];CANCUN;Fernado;23;Octane;352;1;1;0;3;7;1;0;33.33;409;47.95;2370;1792;578;21;53;390;255;135;3;12;42.46;27.7;149;310;44;1582;519815;143.32;41.25;148.44;42.72;55.71;16.03;176.2;50.71;137.19;39.48;34.08;9.81;4.82;0.08;63;107.2;30.54;121.2;34.53;94.57;27.22;252.89;72.78;94.57;27.22;249;71.66;98.47;28.34;199.07;57.29;84.61;24.35;63.79;18.36;2582;2514;2632;3621;2;1
