team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
FLUTTERBYS;Anna (Top G);46;29;63.04;16825;365.76;40;0.87;25;0.54;62;1.35;132;2.87;326;7.09;76;1.65;22;0.48;30.3;378.36;51.95;111479;2423.46;77488;1684.52;33991;738.93;962;20.91;2966;64.48;23812;517.65;12951;281.54;10861;236.11;162;3.52;946;20.57;1776.67;38.62;2242.52;48.75;14968;325.39;17656;383.83;2630;57.17;1572.43;26237468;570379.75;7415.37;161.2;7394.45;160.75;2715.57;59.03;9878.92;214.76;6856.05;149.04;790.42;17.18;463.52;10.08;0.09;5116;111.22;5126.6;111.45;6296;136.87;5177.02;112.54;12348.34;268.44;11031.45;239.81;6493.95;141.17;8080.43;175.66;5553.28;120.72;3891.72;84.6;3169.52;3077.08;3266.72;3862.44;39;0.85;49;1.07
THE GOONIES;Argon;29;10;34.48;10331;356.24;20;0.69;14;0.48;45;1.55;75;2.59;252;8.69;88;3.03;21;0.72;26.67;467.51;51.8;81818;2821.31;61119;2107.55;20699;713.76;776;26.76;1825;62.93;18461;636.59;11424;393.93;7037;242.66;139;4.79;599;20.66;1235.38;42.6;993.47;34.26;11157;384.72;16590;572.07;2602;89.72;1723.75;17124592;590503.19;3304.42;113.95;4865.2;167.77;2379.54;82.05;5410.76;186.58;4544.94;156.72;593.47;20.46;211.61;7.3;0.1;2113;72.86;2879.2;99.28;4041.6;139.37;3695.13;127.42;6854.03;236.35;6557.27;226.11;3991.83;137.65;4777.75;164.75;3263.5;112.53;2507.89;86.48;3116.61;2927.69;3312.32;4012.29;41;1.41;25;0.86
T3;ChromosexuaI;12;8;66.67;1939;161.58;2;0.17;6;0.5;6;0.5;10;0.83;72;6;20;1.67;6;0.5;20;259.04;55.45;18381;1531.75;12683;1056.92;5698;474.83;161;13.42;504;42;3855;321.25;2469;205.75;1386;115.5;29;2.42;127;10.58;379.66;31.64;754.05;62.84;2248;187.33;3536;294.67;470;39.17;1351.76;5279058;439921.5;2588.26;215.69;1279.37;106.61;274.67;22.89;2859.28;238.27;1169.59;97.47;113.41;9.45;57.55;4.8;0.1;557;46.42;1600;133.33;1098.1;91.51;1007.23;83.94;3135.08;261.26;2748.85;229.07;1393.47;116.12;2033.71;169.48;1328.88;110.74;779.71;64.98;3360.43;3427.16;3293.31;3676.77;8;0.67;6;0.5
T3;Doom Desire;47;24;51.06;21382;454.94;55;1.17;21;0.45;71;1.51;194;4.13;333;7.09;98;2.09;35;0.74;28.35;489.69;48.52;139392;2965.79;103413;2200.28;35979;765.51;1225;26.06;3074;65.4;29025;617.55;17260;367.23;11765;250.32;200;4.26;990;21.06;2324.09;49.45;2520.18;53.62;23972;510.04;18047;383.98;2318;49.32;1552.51;25705578;546927.19;7740.73;164.7;6848.86;145.72;2948.63;62.74;9560.55;203.42;6859.51;145.95;1118.22;23.79;456.23;9.71;0.15;3123;66.45;5008.9;106.57;6115.2;130.11;4653.78;99.02;12884.49;274.14;10988.23;233.79;6549.98;139.36;8258.01;175.7;5223.87;111.15;4056.37;86.31;2588.28;2443.14;2727.56;3646.86;44;0.94;51;1.09
DOGE;Front Flip Freddy;57;31;54.39;20902;366.7;45;0.79;30;0.53;86;1.51;157;2.75;436;7.65;111;1.95;42;0.74;28.66;330.78;50.36;114501;2008.79;77103;1352.68;37398;656.11;921;16.16;3305;57.98;26236;460.28;14709;258.05;11527;202.23;174;3.05;1025;17.98;2122.36;37.23;2694.66;47.27;12950;227.19;15415;270.44;2676;46.95;1441.24;28128532;493483.03;10795.96;189.4;7848.39;137.69;1961.88;34.42;12735.37;223.43;6848.65;120.15;1022.23;17.93;364.59;6.4;0.1;3583;62.86;6025;105.7;6853.7;120.24;5765.92;101.16;14840.29;260.36;13135.8;230.45;7470.34;131.06;9818.97;172.26;6353.09;111.46;4434.11;77.79;2875.12;2795.43;2954.37;3617.48;38;0.67;55;0.96
THE GOONIES;Gilan;29;9;31.03;7587;261.62;10;0.34;11;0.38;40;1.38;54;1.86;260;8.97;91;3.14;28;0.97;18.52;332.45;49.5;58167;2005.76;38971;1343.83;19196;661.93;496;17.1;1663;57.34;9501;327.62;5535;190.86;3966;136.76;70;2.41;340;11.72;1412.32;48.7;990.93;34.17;7540;260;10686;368.48;1324;45.66;1514.57;15037080;518520;5079.88;175.17;4143.63;142.88;1327.26;45.77;6435.6;221.92;3796.24;130.9;318.91;11;152.53;5.26;0.08;1800;62.07;4023.2;138.73;2739.1;94.45;2749.82;94.82;7800.92;269;7325.2;252.59;3225.57;111.23;5477.1;188.87;3311.88;114.2;1761.77;60.75;3076.9;3172.75;2991.77;3895.46;30;1.03;26;0.9
DOGE;GoW_Caaloz;28;11;39.29;3525;125.89;4;0.14;5;0.18;12;0.43;39;1.39;260;9.29;78;2.79;21;0.75;10.26;223.83;49.16;39446;1408.79;18201;650.04;21245;758.75;225;8.04;1858;66.36;7059;252.11;1979;70.68;5080;181.43;24;0.86;445;15.89;445.3;15.9;792.92;28.32;3623;129.39;4608;164.57;474;16.93;1360.58;13597269;485616.75;6472.05;231.14;3622.82;129.39;545.44;19.48;7996.32;285.58;2540.19;90.72;103.83;3.71;151.91;5.43;0.18;850;30.36;3129.9;111.78;3252.1;116.15;3016.11;107.72;7624.24;272.29;7228.78;258.17;3411.54;121.84;5445.63;194.49;3269.47;116.77;1925.27;68.76;2923.25;3000.96;2848.73;3322.66;17;0.61;29;1.04
THE GOONIES;Internine0;27;11;40.74;6956;257.63;11;0.41;18;0.67;21;0.78;61;2.26;206;7.63;68;2.52;25;0.93;18.03;376.88;48.03;62602;2318.59;49180;1821.48;13422;497.11;567;21;1195;44.26;12493;462.7;7881;291.89;4612;170.81;92;3.41;402;14.89;1582.21;58.6;1351.48;50.05;7147;264.7;7343;271.96;1302;48.22;1502.2;14071508;521166.97;4695.49;173.91;4186.14;155.04;1086.91;40.26;5992.88;221.96;3493.55;129.39;482.04;17.85;147.33;5.46;0.1;1487;55.07;3341.8;123.77;4208.2;155.86;3080.82;114.1;6887.7;255.1;6366.3;235.79;3602.17;133.41;4812.98;178.26;2998.27;111.05;2157.26;79.9;3115.21;3031.18;3196.82;3660.98;21;0.78;27;1
FLUTTERBYS;Judionnn;46;29;63.04;14681;319.15;28;0.61;19;0.41;60;1.3;128;2.78;326;7.09;76;1.65;18;0.39;21.88;418.4;48.34;119305;2593.59;86589;1882.37;32716;711.22;1028;22.35;2809;61.07;20324;441.83;12509;271.93;7815;169.89;150;3.26;665;14.46;2408.2;52.35;1697.78;36.91;16411;356.76;15848;344.52;2433;52.89;1541.08;25734664;559449.19;7717.46;167.77;7154;155.52;2673.01;58.11;10169.72;221.08;6563.71;142.69;811.06;17.63;322.43;7.01;0.14;2356;51.22;6261.7;136.12;4826;104.91;4034.26;87.7;13510.22;293.7;12098.42;263.01;5446.06;118.39;9197.65;199.95;5214.33;113.36;3132.46;68.1;3009.03;3002;3006.95;3739.55;53;1.15;40;0.87
TRAFFIC CONES;LEONrl_0;38;14;36.84;17574;462.47;41;1.08;25;0.66;60;1.58;127;3.34;298;7.84;104;2.74;25;0.66;32.28;407.68;51.75;92943;2445.87;65061;1712.13;27882;733.74;796;20.95;2492;65.58;25311;666.08;16411;431.87;8900;234.21;200;5.26;802;21.11;1486.42;39.12;1059.09;27.87;11734;308.79;14364;378;3502;92.16;1565.58;20295964;534104.31;6075.18;159.87;5558.56;146.28;2231.5;58.72;7774.67;204.6;5315.46;139.88;775.14;20.4;315.8;8.31;0.09;3664;96.42;3225.4;84.88;5899.6;155.25;4225.29;111.19;9639.88;253.68;8688.76;228.65;5176.36;136.22;6435.36;169.35;4222.83;111.13;3207.06;84.4;2653.9;2420.22;2871.45;3602.71;42;1.11;32;0.84
