team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
[YUMY];Anna (Top G);41;22;53.66;14701;358.56;32;0.78;19;0.46;47;1.15;123;3;295;7.2;93;2.27;30;0.73;26.02;381.58;50.15;99165;2418.66;68634;1674;30531;744.66;851;20.76;2634;64.24;20261;494.17;11840;288.78;8421;205.39;145;3.54;742;18.1;1526.08;37.22;1939.57;47.31;12471;304.17;15281;372.71;2340;57.07;1551.84;22664516;552793.06;6817.35;166.28;6484.83;158.17;2218.33;54.11;9008.12;219.71;5744.28;140.1;768.14;18.74;376.42;9.18;0.1;4005;97.68;5494.5;134.01;4713.5;114.96;4119.08;100.47;11401.46;278.08;10368.45;252.89;5152.1;125.66;7832.27;191.03;4714.4;114.99;2973.88;72.53;3160.37;3079.77;3247.41;3859.24;25;0.61;40;0.98
[RALZ];Brightsido;37;19;51.35;13035;352.3;23;0.62;24;0.65;62;1.68;86;2.32;305;8.24;83;2.24;24;0.65;26.74;407.09;47.05;94638;2557.78;62749;1695.92;31889;861.86;780;21.08;2737;73.97;16388;442.92;8537;230.73;7851;212.19;108;2.92;673;18.19;1894.57;51.2;1268.11;34.27;12124;327.68;13753;371.7;1617;43.7;1469.72;19579544;529176.88;6803.84;183.89;5797.28;156.68;1508.64;40.77;8939.92;241.62;4772.58;128.99;397.28;10.74;296.72;8.02;0.15;1934;52.27;4310.9;116.51;4979.8;134.59;3934.67;106.34;10175.16;275;9565.88;258.54;4543.92;122.81;7304.49;197.42;4106.25;110.98;2699.1;72.95;3045.9;3003.5;3074.05;3638.62;38;1.03;38;1.03
[RLHS];CSS;40;16;40.00;15866;396.65;33;0.82;23;0.57;45;1.12;127;3.17;291;7.28;82;2.05;29;0.73;25.98;462.78;52.24;113609;2840.23;86420;2160.5;27189;679.72;1067;26.67;2359;58.97;27076;676.9;17634;440.85;9442;236.05;215;5.38;797;19.92;1565.25;39.13;2494.08;62.35;18545;463.62;18706;467.65;3376;84.4;1509.72;21124214;528105.38;6928.74;173.22;5424.73;135.62;2425.91;60.65;8303.86;207.6;5716.77;142.92;758.77;18.97;347.94;8.7;0.16;2206;55.15;3527.2;88.18;5881;147.02;4114.28;102.86;10665.15;266.63;9226.08;230.65;5553.25;138.83;6739.01;168.48;4662.63;116.57;3377.79;84.44;2526.95;2392.63;2657.26;3704.58;39;0.98;50;1.25
[T7];DaFlightlessBird;7;1;14.29;2220;317.14;3;0.43;6;0.86;6;0.86;21;3;60;8.57;18;2.57;7;1;14.29;441.72;51.35;19715;2816.43;15506;2215.14;4209;601.29;190;27.14;383;54.71;4096;585.14;2694;384.86;1402;200.29;35;5;128;18.29;386.14;55.16;230.36;32.91;3980;568.57;3483;497.57;845;120.71;1657.95;4214040;602005.69;964.49;137.78;1196.22;170.89;516.27;73.75;1549.83;221.4;975.37;139.34;151.75;21.68;49.99;7.14;0.11;444;63.43;798.6;114.09;896.5;128.07;800.8;114.4;1876.15;268.02;1657.59;236.8;1019.38;145.63;1209.64;172.81;859.46;122.78;607.85;86.84;3189.11;2983.64;3366.47;4022.85;25;3.57;8;1.14
[SCRM];DayStarr_;35;20;57.14;6973;199.23;13;0.37;12;0.34;22;0.63;65;1.86;245;7;67;1.91;22;0.63;20;325.65;43.01;66732;1906.63;43073;1230.66;23659;675.97;496;14.17;2030;58;12009;343.11;5486;156.74;6523;186.37;62;1.77;574;16.4;2085.48;59.59;1005.58;28.73;8914;254.69;6567;187.63;742;21.2;1486.93;17861640;510332.56;6119.19;174.83;5155.49;147.3;1412.61;40.36;8094.61;231.27;4323.22;123.52;269.52;7.7;180.25;5.15;0.11;1631;46.6;4505.1;128.72;3987.9;113.94;3647.36;104.21;9039.97;258.28;8429.78;240.85;4257.56;121.64;6435.95;183.88;3747.04;107.06;2504.37;71.55;3074.85;3083.89;3029.6;3548.67;24;0.69;37;1.06
[SCRM];ElatedThug;3;0;0.00;587;195.67;0;0;0;0;4;1.33;3;1;28;9.33;12;4;2;0.67;0;356.02;45.18;6687;2229;4286;1428.67;2401;800.33;52;17.33;211;70.33;1320;440;665;221.67;655;218.33;8;2.67;56;18.67;140.62;46.87;50.46;16.82;554;184.67;807;269;134;44.67;1472.76;1487502;495834;531.75;177.25;427.71;142.57;125.02;41.67;615.77;205.26;442.95;147.65;25.75;8.58;19.54;6.51;0.07;266;88.67;351.2;117.07;312.4;104.13;308.71;102.9;775.76;258.59;703.36;234.45;381.1;127.03;541.09;180.36;331.97;110.66;211.41;70.47;2963.31;3008.56;2924.19;3687.57;0;0;4;1.33
[BNR];Fernado;38;28;73.68;16049;422.34;40;1.05;30;0.79;52;1.37;119;3.13;273;7.18;68;1.79;30;0.79;33.61;374.7;51.76;88763;2335.87;59171;1557.13;29592;778.74;749;19.71;2593;68.24;24212;637.16;14972;394;9240;243.16;190;5;809;21.29;1318.37;34.69;1464.96;38.55;11497;302.55;16045;422.24;4183;110.08;1521.84;20503956;539577.81;6859.24;180.51;5333.08;140.34;2093.83;55.1;8738.12;229.95;4774.39;125.64;773.61;20.36;257.71;6.78;0.1;2604;68.53;3876.5;102.01;4986.1;131.21;4065.21;106.98;10220.95;268.97;8971.89;236.1;5314.25;139.85;6661.22;175.3;4461.45;117.41;3163.4;83.25;2855.89;2721.18;2985.79;3659.48;61;1.61;45;1.18
[STND];Front Flip Freddy;51;30;58.82;16619;325.86;31;0.61;30;0.59;59;1.16;138;2.71;367;7.2;115;2.25;39;0.76;22.46;338.54;53.65;110581;2168.25;74401;1458.84;36180;709.41;897;17.59;3221;63.16;21232;416.31;10779;211.35;10453;204.96;134;2.63;918;18;1812.66;35.54;2717.82;53.29;11165;218.92;16025;314.22;2750;53.92;1446.94;25771596;505325.41;9935.76;194.82;7236.3;141.89;1807.7;35.45;11933.46;233.99;6226.52;122.09;819.75;16.07;375.02;7.35;0.1;3620;70.98;6636.1;130.12;5423.1;106.34;5079.29;99.59;13900.48;272.56;12075.04;236.77;6904.68;135.39;8978.89;176.06;6063.55;118.89;3937.26;77.2;2891.75;2857.12;2906.22;3690.32;45;0.88;64;1.25
[RLHS];GANGSTER.GOOSE;40;16;40.00;8354;208.85;14;0.35;14;0.35;36;0.9;54;1.35;291;7.28;82;2.05;24;0.6;25.93;284.38;45.45;69089;1727.22;34659;866.47;34430;860.75;406;10.15;2933;73.32;13825;345.62;5415;135.38;8410;210.25;68;1.7;714;17.85;1595.42;39.89;1293.39;32.33;7926;198.15;5933;148.32;1303;32.58;1380.63;19288518;482212.94;8490.55;212.26;4964.79;124.12;1336.6;33.42;9742.42;243.56;4657.48;116.44;392.04;9.8;393.16;9.83;0.14;2724;68.1;5094.2;127.36;4498;112.45;3670.97;91.77;11120.97;278.02;10220.67;255.52;4571.24;114.28;7520.54;188.01;4685.3;117.13;2586.02;64.65;3241.65;3336.61;3138.15;3703.08;54;1.35;50;1.25
[T7];Gam;36;16;44.44;14492;402.56;36;1;18;0.5;53;1.47;92;2.56;291;8.08;81;2.25;24;0.67;39.13;385.27;54.45;86714;2408.72;60038;1667.72;26676;741;748;20.78;2349;65.25;22285;619.03;13711;380.86;8574;238.17;170;4.72;741;20.58;1154.23;32.06;1606.82;44.63;10410;289.17;14804;411.22;3386;94.06;1558.96;20129142;559142.81;6117.35;169.93;5396.93;149.91;2129.37;59.15;7764.9;215.69;5045.46;140.15;833.31;23.15;239.15;6.64;0.11;2172;60.33;4040.3;112.23;4602.1;127.84;3816.82;106.02;9826.87;272.97;8760.67;243.35;4883.08;135.64;6575.46;182.65;4220.13;117.23;2848.06;79.11;2832.18;2694.32;2944.54;3819.5;43;1.19;21;0.58
