team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
[TRLFC];ArgonDRFT;26;5;19.23;9421;362.35;26;1;6;0.23;36;1.38;71;2.73;227;8.73;85;3.27;25;0.96;36.62;461.64;51.49;69720;2681.54;53074;2041.31;16646;640.23;674;25.92;1496;57.54;14336;551.38;9304;357.85;5032;193.54;111;4.27;451;17.35;903.3;34.74;1162.81;44.72;9208;354.15;13760;529.23;1650;63.46;1709.03;14631578;562753;2977.13;114.5;4133.1;158.97;2011.06;77.35;4630.76;178.11;4044.98;155.58;445.63;17.14;186.18;7.16;0.09;2116;81.38;2521.6;96.98;3482.6;133.95;2928.41;112.63;6192.9;238.19;6045.03;232.5;3076.22;118.32;4530.58;174.25;2776.19;106.78;1814.55;69.79;3032.42;2778.72;3262.59;3847.47;32;1.23;16;0.62
[TRLFC];Astra Luma;26;5;19.23;7939;305.35;9;0.35;9;0.35;39;1.5;54;2.08;227;8.73;85;3.27;17;0.65;16.67;428.75;48.69;64172;2468.15;45404;1746.31;18768;721.85;536;20.62;1681;64.65;9025;347.12;4766;183.31;4259;163.81;57;2.19;370;14.23;1185.98;45.61;665.85;25.61;5525;212.5;8588;330.31;902;34.69;1575.65;13467898;517996.06;3790.52;145.79;3858.94;148.42;1465.67;56.37;5071.49;195.06;3632.46;139.71;411.22;15.82;185.91;7.15;0.09;2139;82.27;2769.6;106.52;3113.3;119.74;2717.61;104.52;6397.57;246.06;6216.75;239.11;2898.32;111.47;4663.67;179.37;2804.57;107.87;1646.95;63.34;3036.36;2869.22;3185.39;3821.18;51;1.96;19;0.73
Dragon & Dies & Front Flip Freddy;Dies;25;18;72.00;7878;315.12;16;0.64;14;0.56;29;1.16;59;2.36;163;6.52;37;1.48;10;0.4;27.12;278.62;58.07;45832;1833.28;28577;1143.08;17255;690.2;401;16.04;1594;63.76;9281;371.24;4221;168.84;5060;202.4;59;2.36;462;18.48;336.18;13.45;1514.47;60.58;2907;116.28;12021;480.84;1596;63.84;1413.58;12357691;494307.62;5072.66;202.91;3382.72;135.31;777.34;31.09;5974.04;238.96;2940.85;117.63;317.8;12.71;112.03;4.48;0.11;1041;41.64;3176.2;127.05;2892.6;115.7;2185.83;87.43;7046.85;281.87;6049.44;241.98;3183.24;127.33;4428.89;177.16;3042.25;121.69;1761.57;70.46;3260.88;3266.27;3249.62;3813.95;20;0.8;21;0.84
TORTLES MIN0RS;Dom;33;15;45.45;11163;338.27;26;0.79;21;0.64;52;1.58;68;2.06;281;8.52;92;2.79;33;1;38.24;428.87;52.83;88308;2676;62760;1901.82;25548;774.18;798;24.18;2239;67.85;18554;562.24;11576;350.79;6978;211.45;142;4.3;616;18.67;1344.93;40.76;1336.99;40.51;11732;355.52;17195;521.06;2775;84.09;1617.34;18304380;554678.19;4602.47;139.47;5667.98;171.76;1817.56;55.08;7473.41;226.47;4106.72;124.45;507.9;15.39;234.9;7.12;0.12;1979;59.97;4023.5;121.92;4121.9;124.91;3599.68;109.08;8488.35;257.22;7999.87;242.42;4088.19;123.88;5875.73;178.05;3901.01;118.21;2311.35;70.04;3154.1;3042.76;3249.7;3852.95;39;1.18;25;0.76
Dragon & Dies & Front Flip Freddy;Dragon;25;18;72.00;10092;403.68;22;0.88;14;0.56;33;1.32;86;3.44;163;6.52;37;1.48;12;0.48;25.58;432.35;50.7;65995;2639.8;49134;1965.36;16861;674.44;586;23.44;1495;59.8;12722;508.88;8074;322.96;4648;185.92;99;3.96;413;16.52;1235.31;49.41;1562.46;62.5;8329;333.16;9707;388.28;1761;70.44;1478.52;12938241;517529.62;4583.41;183.34;3429.67;137.19;1204.61;48.18;5265.16;210.61;3535.42;141.42;417.13;16.69;241.8;9.67;0.16;1497;59.88;2774.9;111;3112.6;124.5;2204.08;88.16;7013.63;280.55;5960.9;238.44;3256.8;130.27;4378.34;175.13;2871.36;114.85;1968.01;78.72;2860.43;2736.46;2988.32;3781;20;0.8;30;1.2
[T5];ElatedThug;29;13;44.83;6696;230.9;14;0.48;14;0.48;20;0.69;64;2.21;187;6.45;68;2.34;20;0.69;21.88;315.91;46.63;54369;1874.79;30914;1066;23455;808.79;370;12.76;2035;70.17;11657;401.97;5148;177.52;6509;224.45;65;2.24;561;19.34;1098.57;37.88;553.16;19.07;3042;104.9;6348;218.9;1334;46;1398.3;13464232;464283.88;5624.32;193.94;3897.54;134.4;733.14;25.28;6300.63;217.26;3678.56;126.85;275.78;9.51;219.55;7.57;0.09;2413;83.21;3593.6;123.92;2821.5;97.29;2858.22;98.56;7396.81;255.06;6592.75;227.34;3662.24;126.28;4747.68;163.71;3508.8;120.99;1998.5;68.91;3090.86;3121.97;3048.91;3634.68;13;0.45;27;0.93
[T5];Fernado;29;13;44.83;11390;392.76;25;0.86;18;0.62;37;1.28;93;3.21;187;6.45;68;2.34;27;0.93;26.88;377.22;49.32;63283;2182.17;42175;1454.31;21108;727.86;509;17.55;1848;63.72;13276;457.79;7425;256.03;5851;201.76;90;3.1;511;17.62;974.23;33.59;895.93;30.89;5375;185.34;8112;279.72;1431;49.34;1511.45;14557525;501983.62;4866.51;167.81;4015.93;138.48;1361.26;46.94;6017.65;207.51;3705.8;127.79;520.22;17.94;214.3;7.39;0.1;2161;74.52;3646.5;125.74;3102.5;106.98;2712.51;93.53;7531.18;259.7;6738.83;232.37;3504.86;120.86;4941.3;170.39;3288.2;113.39;2014.19;69.45;2899.99;2801.99;2982.45;3690.26;19;0.66;30;1.03
Dragon & Dies & Front Flip Freddy;Front Flip Freddy;25;18;72.00;8583;343.32;24;0.96;5;0.2;36;1.44;73;2.92;163;6.52;37;1.48;14;0.56;32.88;318.34;56.41;50172;2006.88;34392;1375.68;15780;631.2;428;17.12;1421;56.84;8728;349.12;4736;189.44;3992;159.68;61;2.44;351;14.04;693.71;27.75;1728.46;69.14;3886;155.44;8160;326.4;1209;48.36;1400.86;12220650;488826;4958.61;198.34;3505.97;140.24;739.03;29.56;6043.73;241.75;2756.59;110.26;403.25;16.13;172.73;6.91;0.1;1806;72.24;3215.9;128.64;2555.1;102.2;1958.16;78.33;7245.47;289.82;6117.51;244.7;3086.14;123.45;4470.22;178.81;3019.84;120.79;1713.55;68.54;3155.99;3137.5;3189.78;3746.23;12;0.48;33;1.32
[ZOO];G_Llama;29;15;51.72;5741;197.97;17;0.59;13;0.45;9;0.31;50;1.72;208;7.17;69;2.38;15;0.52;34;331.9;49.03;58828;2028.55;41160;1419.31;17668;609.24;506;17.45;1540;53.1;11868;409.24;6184;213.24;5684;196;76;2.62;489;16.86;1083.71;37.37;1159.04;39.97;8042;277.31;9292;320.41;1411;48.66;1519.03;15121540;521432.41;5124.78;176.72;4324.24;149.11;1252.81;43.2;6908.84;238.24;3540.35;122.08;252.66;8.71;208.82;7.2;0.14;1497;51.62;2677;92.31;3750.1;129.31;3393.99;117.03;7307.85;251.99;6689.65;230.68;4012.15;138.35;4968.72;171.34;3260.85;112.44;2472.24;85.25;2878.29;2831.79;2909.15;3413.43;15;0.52;31;1.07
CANCUN;GreenSleeves;27;15;55.56;15320;567.41;39;1.44;19;0.7;64;2.37;118;4.37;194;7.19;58;2.15;19;0.7;33.05;432.37;47.69;69195;2562.78;47461;1757.81;21734;804.96;566;20.96;1909;70.7;17062;631.93;9751;361.15;7311;270.78;114;4.22;628;23.26;1175.03;43.52;538.43;19.94;5696;210.96;6500;240.74;1217;45.07;1546.81;13931509;515981.81;4301.52;159.32;3801.31;140.79;1528.96;56.63;5264.19;194.97;3960.91;146.7;406.72;15.06;233.73;8.66;0.08;2807;103.96;2871.2;106.34;3241.3;120.05;2433.43;90.13;7198.35;266.61;5974.47;221.28;3657.34;135.46;4510.09;167.04;2865.2;106.12;2256.5;83.57;2553.16;2385.9;2725.52;3487.97;36;1.33;39;1.44
