team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
[3T3];5.0stormzy;73;42;57.53;27092;371.12;62;0.85;47;0.64;98;1.34;231;3.16;553;7.58;175;2.4;57;0.78;26.84;418.48;49.96;184418;2526.27;136688;1872.44;47730;653.84;1657;22.7;4214;57.73;43735;599.11;27571;377.68;16164;221.42;330;4.52;1405;19.25;3513.05;48.12;3005.33;41.17;17313;237.16;29355;402.12;5544;75.95;1592.63;39635284;542949.12;10696.49;146.53;11998.13;164.36;3821.25;52.35;14527.06;199;10665.79;146.11;1322.89;18.12;420.82;5.76;0.09;4716;64.6;7597.6;104.08;9585.4;131.31;8028.81;109.98;18487.02;253.25;16534.61;226.5;9981.18;136.73;11860.07;162.47;8806.44;120.64;5849.29;80.13;2780.33;2626.02;2928.62;3712.82;90;1.23;68;0.93
[T4];5strs;49;17;34.69;19495;397.86;37;0.76;26;0.53;82;1.67;152;3.1;430;8.78;141;2.88;62;1.27;24.34;401.54;50.06;115260;2352.24;76698;1565.27;38562;786.98;951;19.41;3519;71.82;25497;520.35;13814;281.92;11683;238.43;172;3.51;1020;20.82;1909.87;38.98;2682.69;54.75;19365;395.2;20402;416.37;3340;68.16;1535.08;25411116;518594.22;8182.43;166.99;6478.27;132.21;2954.84;60.3;9771.3;199.41;6783.35;138.44;1060.89;21.65;459.46;9.38;0.1;4714;96.2;5416;110.53;5719.3;116.72;5261.66;107.38;12353.88;252.12;11542.04;235.55;6073.49;123.95;8702.16;177.6;5337.88;108.94;3575.57;72.97;2783.07;2565.03;2969.84;3790.86;68;1.39;42;0.86
[T7];ARBY_.;56;22;39.29;16814;300.25;41;0.73;33;0.59;55;0.98;142;2.54;445;7.95;137;2.45;41;0.73;28.87;401.84;47.89;136536;2438.14;92547;1652.62;43989;785.52;1128;20.14;3938;70.32;33571;599.48;18637;332.8;14934;266.68;220;3.93;1329;23.73;2316.09;41.36;1394.61;24.9;14565;260.09;20107;359.05;3334;59.54;1522.86;29226980;521910.34;9089.69;162.32;9130.91;163.05;2253.73;40.25;11970.9;213.77;7385.78;131.89;1117.74;19.96;537.16;9.59;0.15;3591;64.12;5936;106;7703.4;137.56;6500.1;116.07;13974.19;249.54;12249.01;218.73;8225.36;146.88;8916.81;159.23;6581.51;117.53;4975.97;88.86;2933.4;2806.9;3044.11;3640.02;42;0.75;59;1.05
[T10];Alex;55;31;56.36;22742;413.49;54;0.98;27;0.49;80;1.45;194;3.53;395;7.18;110;2;40;0.73;27.84;396.36;52.15;133996;2436.29;96192;1748.95;37804;687.35;1197;21.76;3346;60.84;24914;452.98;13711;249.29;11203;203.69;171;3.11;992;18.04;1819.59;33.08;1621.78;29.49;14327;260.49;24117;438.49;3526;64.11;1617.54;31416182;571203.31;8113.58;147.52;9077.44;165.04;3389.85;61.63;10735.12;195.18;8613.36;156.61;1232.35;22.41;335.05;6.09;0.09;3764;68.44;6659.2;121.08;6624.2;120.44;5424.19;98.62;15156.66;275.58;12878.06;234.15;7702.84;140.05;9450.9;171.83;6556.79;119.21;4573.3;83.15;2798.35;2684.8;2907.45;3682.79;53;0.96;45;0.82
CPUN;Anna (Top G);65;32;49.23;21258;327.05;43;0.66;32;0.49;77;1.18;161;2.48;523;8.05;151;2.32;47;0.72;26.71;352.67;50.44;143522;2208.03;96127;1478.88;47395;729.15;1223;18.82;4147;63.8;29007;446.26;16606;255.48;12401;190.78;222;3.42;1077;16.57;1895.34;29.16;2460.86;37.86;18970;291.85;26001;400.02;5406;83.17;1553.87;35331212;543557.12;10502.01;161.57;10182.22;156.65;3458.65;53.21;13675.96;210.4;9501.03;146.17;965.85;14.86;548.74;8.44;0.09;5903;90.82;8431.7;129.72;7660.5;117.85;6794.03;104.52;17348.88;266.91;16334.04;251.29;7808.84;120.14;12444.68;191.46;7120.6;109.55;4577.61;70.42;3243.3;3172.63;3318.46;3759.7;38;0.58;71;1.09
User-ca0172d084 & snipey & ArgonDRFT;Argon;29;9;31.03;10941;377.28;29;1;12;0.41;41;1.41;83;2.86;308;10.62;104;3.59;31;1.07;34.94;487.55;51.25;90563;3122.86;69698;2403.38;20865;719.48;861;29.69;1825;62.93;20167;695.41;13305;458.79;6862;236.62;160;5.52;593;20.45;1452.02;50.07;1053.88;36.34;12774;440.48;16169;557.55;2750;94.83;1717.1;17890620;616917.94;3622.41;124.91;4955.61;170.88;2561;88.31;5715.88;197.1;4848.75;167.2;574.43;19.81;245.93;8.48;0.09;2593;89.41;2872.9;99.07;4486.2;154.7;4033.75;139.09;7105.26;245.01;7151.06;246.59;3987.95;137.52;5375.88;185.38;3300.95;113.83;2462.19;84.9;3124.28;2920.45;3317.55;4015.91;30;1.03;22;0.76
[T5];Brictone;39;15;38.46;9243;237;18;0.46;14;0.36;42;1.08;65;1.67;294;7.54;101;2.59;32;0.82;27.69;385.67;46.61;90003;2307.77;54827;1405.82;35176;901.95;660;16.92;3094;79.33;18031;462.33;8418;215.85;9613;246.49;103;2.64;832;21.33;1575.86;40.41;962.38;24.68;16399;420.49;10710;274.62;1757;45.05;1521;20222054;518514.22;6637.28;170.19;5930.69;152.07;1578.05;40.46;9240.61;236.94;4490.7;115.15;414.72;10.63;355.07;9.1;0.11;3182;81.59;4770.2;122.31;4328.9;111;4238.19;108.67;9907.83;254.05;9297.83;238.41;4848.21;124.31;6821.99;174.92;4518.7;115.86;2805.41;71.93;3002.49;2993.69;3007.04;3613.09;28;0.72;40;1.03
[T10];Brightsido;65;29;44.62;19698;303.05;37;0.57;33;0.51;86;1.32;133;2.05;553;8.51;143;2.2;51;0.78;27.82;363.03;45.19;140988;2169.05;87110;1340.15;53878;828.89;1060;16.31;4657;71.65;25429;391.22;11443;176.05;13986;215.17;141;2.17;1212;18.65;3209.25;49.37;1707.68;26.27;15320;235.69;17808;273.97;1998;30.74;1435.15;32002204;492341.59;12079.14;185.83;9439.9;145.23;2183.25;33.59;15290;235.23;7805.41;120.08;606.97;9.34;496.27;7.63;0.16;3160;48.62;7536.5;115.95;7399.7;113.84;6791.39;104.48;16910.96;260.17;15678.29;241.2;8024.05;123.45;11937.69;183.66;7053.55;108.52;4711.14;72.48;2989.26;2976.31;3000.91;3634.75;49;0.75;48;0.74
[3T3];Chyaboi 143;73;42;57.53;26271;359.88;70;0.96;37;0.51;94;1.29;204;2.79;553;7.58;175;2.4;60;0.82;34.31;451.06;47.69;192982;2643.59;138742;1900.58;54240;743.01;1652;22.63;4527;62.01;41562;569.34;25070;343.42;16492;225.92;296;4.05;1370;18.77;3823.57;52.38;2749.15;37.66;34044;466.36;21367;292.7;3184;43.62;1556.6;38674332;529785.38;11825.41;161.99;10320.84;141.38;4362.25;59.76;15539.75;212.87;9627.21;131.88;1341.5;18.38;426.5;5.84;0.12;3652;50.03;8847.3;121.2;8348.5;114.36;7307.73;100.11;19200.71;263.02;16977.38;232.57;9530.73;130.56;12738;174.49;8032.34;110.03;5738.07;78.6;2945.11;2834.23;3044.84;3724.34;130;1.78;73;1
[3T3];Creep-Up Carol;73;42;57.53;24985;342.26;58;0.79;48;0.66;99;1.36;179;2.45;553;7.58;175;2.4;58;0.79;32.4;298.27;55;137958;1889.84;84267;1154.34;53691;735.49;1135;15.55;4882;66.88;26619;364.64;10888;149.15;15731;215.49;155;2.12;1409;19.3;1173.79;16.08;3572.23;48.93;8966;122.82;31091;425.9;4755;65.14;1454.32;36179100;495604.12;13708.19;187.78;10585.89;145.01;2228.98;30.53;16219.57;222.19;9180.55;125.76;1122.91;15.38;301.04;4.12;0.11;2669;36.56;9559.4;130.95;7467.4;102.29;6935.02;95;19587.99;268.33;17409.02;238.48;9114.05;124.85;13072.41;179.07;8250.36;113.02;5200.28;71.24;3196.92;3147.33;3239.09;3737.19;70;0.96;67;0.92
